peptide_name,peptide_sequence,nanopore_name,user,voltage,buffer,data_file,data_path,time_sampling,simulation,experimental,comments
PeptideI,,,bakrantz,,,peptide_I_simulated_single_channel_data_300s_noisy_0_2_sd.csv,,1000,TRUE,FALSE,"4-state, Gaussian noise (0.2 std dev)"
PeptideI,,,bakrantz,,,peptide_I_simulated_single_channel_data_300s_noisy.csv,,1000,TRUE,FALSE,"4-state, Gaussian noise (0.1 std dev)"
PeptideI,,,bakrantz,,,peptide_I_simulated_single_channel_data_300s.csv,,1000,TRUE,FALSE,"4-state, Idealized, no noise"
PeptideJ,,,bakrantz,,,peptide_J_simulated_single_channel_data_300s_noisy_0_2_sd.csv,,1000,TRUE,FALSE,"4-state, Gaussian noise (0.2 std dev)"
PeptideJ,,,bakrantz,,,peptide_J_simulated_single_channel_data_300s_noisy.csv,,1000,TRUE,FALSE,"4-state, Gaussian noise (0.1 std dev)"
PeptideJ,,,bakrantz,,,peptide_J_simulated_single_channel_data_300s.csv,,1000,TRUE,FALSE,"4-state, Idealized, no noise"
PeptideA,,,bakrantz,,,peptide_A_simulated_single_channel_data_30s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideA,,,bakrantz,,,peptide_A_simulated_single_channel_data_for_prediction_30s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideB,,,bakrantz,,,peptide_B_simulated_single_channel_data_30s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideB,,,bakrantz,,,peptide_B_simulated_single_channel_data_for_prediction_30s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideC,,,bakrantz,,,peptide_C_simulated_single_channel_data_30s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideC,,,bakrantz,,,peptide_C_simulated_single_channel_data_for_prediction_30s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideD,,,bakrantz,,,peptide_D_simulated_single_channel_data_30s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideD,,,bakrantz,,,peptide_D_simulated_single_channel_data_for_prediction_30s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideE,,,bakrantz,,,peptide_E_simulated_single_channel_data_30s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideE,,,bakrantz,,,peptide_E_simulated_single_channel_data_for_prediction_30s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideF,,,bakrantz,,,peptide_F_simulated_single_channel_data_30s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideF,,,bakrantz,,,peptide_F_simulated_single_channel_data_for_prediction_30s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideG,,,bakrantz,,,peptide_G_simulated_single_channel_data_150s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
PeptideG,,,bakrantz,,,peptide_G_simulated_single_channel_data_for_prediction_150s.csv,,1000,TRUE,FALSE,"3-state, Idealized, no noise"
